"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30058","file download","webkit","2026-03-30","broken","2026-03-30","","uploadfile.spec.js","",""
"","6227","multi-select dropdown","chromium","2026-03-30","passed","2026-03-30","","dropdown.spec.js","",""
"","7193","automation site","webkit","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","8126","confirmation alert","firefox","2026-03-30","passed","2026-03-30","","alert.spec.js","",""
"","6918","confirmation alert","chromium","2026-03-30","passed","2026-03-30","","alert.spec.js","",""
"","6869","multi-select dropdown","webkit","2026-03-30","passed","2026-03-30","","dropdown.spec.js","",""
"","7956","multipleamazon_tabs","firefox","2026-03-30","failed","2026-03-30","","tabs.spec.js","",""
"","5354","confirmation alert","webkit","2026-03-30","passed","2026-03-30","","alert.spec.js","",""
"","7222","nested frame","webkit","2026-03-30","passed","2026-03-30","","frame.spec.js","",""
"","7174","automation site","firefox","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","9772","automation site","chromium","2026-03-30","passed","2026-03-30","","login.spec.js","",""
"","6782","multipleamazon_tabs","webkit","2026-03-30","failed","2026-03-30","","tabs.spec.js","",""
"","5950","multi-select dropdown","firefox","2026-03-30","passed","2026-03-30","","dropdown.spec.js","",""
"","30116","file download","firefox","2026-03-30","broken","2026-03-30","","uploadfile.spec.js","",""
"","7137","nested frame","chromium","2026-03-30","passed","2026-03-30","","frame.spec.js","",""
"","7721","multipleamazon_tabs","chromium","2026-03-30","failed","2026-03-30","","tabs.spec.js","",""
"","30094","file download","chromium","2026-03-30","broken","2026-03-30","","uploadfile.spec.js","",""
"","8148","nested frame","firefox","2026-03-30","passed","2026-03-30","","frame.spec.js","",""
